"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.02.2024","4.989,51","4.963,00","4.999,50","4.961,00","2,81M","0,75%"
"22.02.2024","4.952,17","4.930,00","4.969,00","4.922,00","2,41M","0,16%"
"21.02.2024","4.944,46","4.934,50","4.950,00","4.925,00","2,09M","0,21%"
"20.02.2024","4.933,88","4.968,00","4.969,00","4.929,00","2,50M","-0,69%"
"19.02.2024","4.967,98","4.974,00","4.977,00","4.957,00","1,16M","-0,13%"
"16.02.2024","4.974,48","4.976,00","4.995,00","4.965,00","2,00M","-0,04%"
"15.02.2024","4.976,51","4.965,00","4.990,00","4.964,00","2,32M","-0,02%"
"14.02.2024","4.977,26","4.979,00","4.987,00","4.971,00","1,01M","0,29%"
"09.02.2024","4.962,88","4.999,00","5.000,00","4.959,00","2,28M","-0,76%"
"08.02.2024","5.000,95","4.985,00","5.012,00","4.982,50","2,42M","0,46%"
"07.02.2024","4.977,94","4.973,00","4.983,00","4.961,00","1,97M","0,19%"
"06.02.2024","4.968,63","4.987,00","4.991,00","4.960,50","2,41M","-0,60%"
"05.02.2024","4.998,62","4.989,00","5.029,00","4.980,50","2,53M","0,41%"
"02.02.2024","4.978,23","4.923,50","4.988,00","4.915,00","2,75M","0,94%"
"01.02.2024","4.932,04","4.961,00","4.982,00","4.922,50","2,60M","-0,43%"
"31.01.2024","4.953,50","4.956,00","4.966,00","4.945,50","228,08K","0,13%"
"30.01.2024","4.946,88","4.945,00","4.983,00","4.935,50","2,65M","-0,19%"
"29.01.2024","4.956,06","4.919,50","4.961,50","4.908,00","2,73M","0,82%"
"26.01.2024","4.915,72","4.909,50","4.923,50","4.905,50","1,99M","-0,23%"
"25.01.2024","4.927,21","4.934,50","4.946,50","4.911,50","2,17M","-0,14%"
"24.01.2024","4.934,35","4.935,00","4.942,50","4.912,50","2,59M","-0,48%"
"23.01.2024","4.957,91","4.992,00","5.007,00","4.952,00","2,98M","-0,74%"
"22.01.2024","4.994,72","4.931,50","4.999,50","4.929,50","3,34M","1,28%"
"19.01.2024","4.931,54","4.923,50","4.947,00","4.910,00","2,37M","-0,15%"
"18.01.2024","4.938,82","4.936,00","4.965,00","4.922,00","2,57M","-0,10%"
"17.01.2024","4.943,81","4.957,00","4.963,50","4.932,00","2,71M","0,08%"
"16.01.2024","4.939,90","4.908,00","4.943,50","4.895,50","3,21M","1,39%"
"15.01.2024","4.872,39","4.850,00","4.897,00","4.850,00","1,56M","0,10%"
"12.01.2024","4.867,37","4.884,00","4.890,00","4.842,00","2,64M","-0,55%"
"11.01.2024","4.894,30","4.903,50","4.907,50","4.871,00","3,00M","-0,25%"
"10.01.2024","4.906,73","4.915,00","4.919,50","4.891,00","2,06M","-0,15%"
"09.01.2024","4.914,23","4.895,50","4.924,00","4.890,50","2,15M","0,51%"
"08.01.2024","4.889,14","4.894,50","4.917,00","4.879,00","2,02M","0,07%"
"05.01.2024","4.885,71","4.927,00","4.958,50","4.876,50","2,78M","-0,86%"
"04.01.2024","4.928,04","4.929,50","4.954,50","4.913,00","2,32M","-0,16%"
"03.01.2024","4.936,17","4.957,00","4.957,50","4.917,00","2,64M","0,00%"
"02.01.2024","4.936,36","4.884,00","4.945,00","4.866,00","2,47M","1,96%"
"28.12.2023","4.841,30","4.828,50","4.847,50","4.818,00","174,14K","0,30%"
"27.12.2023","4.826,75","4.808,00","4.834,00","4.798,50","2,00M","0,13%"
"26.12.2023","4.820,51","4.848,00","4.858,00","4.809,00","1,89M","-0,61%"
"22.12.2023","4.850,20","4.871,50","4.879,00","4.846,50","2,14M","-0,73%"
"21.12.2023","4.885,96","4.887,50","4.899,00","4.863,50","2,56M","-0,19%"
"20.12.2023","4.895,17","4.870,00","4.917,00","4.855,00","2,40M","0,69%"
"19.12.2023","4.861,46","4.889,50","4.896,00","4.849,50","2,69M","-0,83%"
"18.12.2023","4.902,29","4.939,50","4.953,00","4.891,50","2,33M","-0,85%"
"15.12.2023","4.944,21","4.913,00","4.954,00","4.906,50","2,77M","0,67%"
"14.12.2023","4.911,33","4.885,00","4.922,00","4.880,50","3,08M","-1,30%"
"13.12.2023","4.975,83","4.967,50","4.981,00","4.918,00","3,31M","0,10%"
"12.12.2023","4.970,63","4.933,50","4.978,50","4.928,00","2,63M","0,62%"
"11.12.2023","4.939,76","4.942,50","4.966,50","4.936,50","1,96M","0,10%"
"08.12.2023","4.934,76","4.906,00","4.945,00","4.905,00","2,44M","0,36%"
"07.12.2023","4.917,10","4.907,00","4.925,00","4.890,00","2,44M","0,20%"
